Province;Code Province;Territoire;Code Terrtoire;Zone de santé;"Code
Zone de santé";Besoins_345;CIBLE_345;Besoins_total;Cible_totale
Maï-Ndombe;CD33;Inongo;CD3302;Ntandembelo;CD3302ZS03;0;0;0;0
Maï-Ndombe;CD33;Kiri;CD3303;Kiri;CD3303ZS01;0;0;0;0
Maï-Ndombe;CD33;Kiri;CD3303;Penjwa;CD3303ZS02;0;0;0;0
Maï-Ndombe;CD33;Oshwe;CD3304;Bosobe;CD3304ZS01;0;0;0;0
Maï-Ndombe;CD33;Oshwe;CD3304;Mimia;CD3304ZS02;0;0;0;0
Maï-Ndombe;CD33;Oshwe;CD3304;Oshwe;CD3304ZS03;0;0;0;0
Maï-Ndombe;CD33;Kutu;CD3306;Bokoro;CD3306ZS01;0;0;0;0
Maï-Ndombe;CD33;Kutu;CD3306;Nioki;CD3306ZS02;0;0;0;0
Maï-Ndombe;CD33;Kwamouth;CD3307;Kwamouth;CD3307ZS01;0;0;0;0
Maï-Ndombe;CD33;Bolobo;CD3308;Bolobo;CD3308ZS01;0;0;0;0
Maï-Ndombe;CD33;Yumbi;CD3310;Yumbi;CD3310ZS01;38619;10801;38619;10801
Maï-Ndombe;CD33;Mushie;CD3311;Mushie;CD3311ZS01;0;0;0;0
Equateur;CD41;Mbandaka;CD4101;Bolenge;CD4101ZS01;0;0;0;0
Equateur;CD41;Mbandaka;CD4101;Mbandaka;CD4101ZS02;0;0;0;0
Equateur;CD41;Mbandaka;CD4101;Wangata;CD4101ZS03;0;0;0;0
Equateur;CD41;Bikoro;CD4102;Bikoro;CD4102ZS01;0;0;0;0
Equateur;CD41;Bikoro;CD4102;Iboko;CD4102ZS02;0;0;0;0
Equateur;CD41;Bikoro;CD4102;Ntondo;CD4102ZS03;0;0;0;0
Equateur;CD41;Lukolela;CD4103;Irebu;CD4103ZS01;0;0;0;0
Equateur;CD41;Lukolela;CD4103;Lukolela;CD4103ZS02;0;0;0;0
Equateur;CD41;Bomongo;CD4104;Bomongo;CD4104ZS01;0;0;0;0
Equateur;CD41;Bomongo;CD4104;Lilanga Bobangi;CD4104ZS02;0;0;0;0
Equateur;CD41;Makanza;CD4105;Makanza;CD4105ZS01;0;0;0;0
Equateur;CD41;Basankusu;CD4107;Basankusu;CD4107ZS01;0;0;0;0
Equateur;CD41;Basankusu;CD4107;Djombo;CD4107ZS02;0;0;0;0
Equateur;CD41;Bolomba;CD4108;Bolomba;CD4108ZS01;0;0;0;0
Equateur;CD41;Bolomba;CD4108;Lolanga Mampoko;CD4108ZS02;0;0;0;0
Equateur;CD41;Bolomba;CD4108;Monieka;CD4108ZS03;0;0;0;0
Equateur;CD41;Ingende;CD4109;Ingende;CD4109ZS01;0;0;0;0
Equateur;CD41;Ingende;CD4109;Lotumbe;CD4109ZS02;0;0;0;0
Sud-Ubangi;CD42;Gemena;CD4202;Bogosenubia;CD4202ZS01;0;0;0;0
Sud-Ubangi;CD42;Gemena;CD4202;Bominenge;CD4202ZS02;0;0;0;0
Sud-Ubangi;CD42;Gemena;CD4202;Bwamanda;CD4202ZS03;0;0;0;0
Sud-Ubangi;CD42;Gemena;CD4202;Gemena;CD4202ZS04;0;0;0;0
Sud-Ubangi;CD42;Gemena;CD4202;Tandala;CD4202ZS05;0;0;0;0
Sud-Ubangi;CD42;Budjala;CD4203;Bangabola;CD4203ZS01;0;0;0;0
Sud-Ubangi;CD42;Budjala;CD4203;Budjala;CD4203ZS02;0;0;0;0
Sud-Ubangi;CD42;Budjala;CD4203;Bulu;CD4203ZS03;0;0;0;0
Sud-Ubangi;CD42;Budjala;CD4203;Mbaya;CD4203ZS04;0;0;0;0
Sud-Ubangi;CD42;Budjala;CD4203;Ndage;CD4203ZS05;0;0;0;0
Sud-Ubangi;CD42;Kungu;CD4204;Bokonzi;CD4204ZS01;0;0;0;0
Sud-Ubangi;CD42;Kungu;CD4204;Boto;CD4204ZS02;0;0;0;0
Sud-Ubangi;CD42;Kungu;CD4204;Kungu;CD4204ZS03;0;0;0;0
Sud-Ubangi;CD42;Libenge;CD4205;Libenge;CD4205ZS01;0;0;0;0
Sud-Ubangi;CD42;Libenge;CD4205;Mawuya;CD4205ZS02;0;0;0;0
Sud-Ubangi;CD42;Zongo;CD4206;Zongo;CD4206ZS01;0;0;0;0
Nord-Ubangi;CD43;Gbadolite;CD4301;Gbadolite;CD4301ZS01;0;0;0;0
Nord-Ubangi;CD43;Mobayi-Mbongo;CD4302;Mobayi Mbongo;CD4302ZS01;0;0;0;0
Nord-Ubangi;CD43;Yakoma;CD4304;Abuzi;CD4304ZS01;0;0;0;0
Nord-Ubangi;CD43;Yakoma;CD4304;Wapinda;CD4304ZS02;0;0;0;0
Nord-Ubangi;CD43;Yakoma;CD4304;Wasolo;CD4304ZS03;0;0;0;0
Nord-Ubangi;CD43;Yakoma;CD4304;Yakoma;CD4304ZS04;0;0;0;0
Nord-Ubangi;CD43;Businga;CD4305;Businga;CD4305ZS01;0;0;0;0
Nord-Ubangi;CD43;Businga;CD4305;Karawa;CD4305ZS02;0;0;0;0
Nord-Ubangi;CD43;Businga;CD4305;Loko;CD4305ZS03;0;0;0;0
Nord-Ubangi;CD43;Bosobolo;CD4306;Bili;CD4306ZS01;0;0;0;0
Nord-Ubangi;CD43;Bosobolo;CD4306;Bosobolo;CD4306ZS02;0;0;0;0
Mongala;CD44;Lisala;CD4402;Binga;CD4402ZS01;0;0;0;0
Mongala;CD44;Lisala;CD4402;Boso Manzi;CD4402ZS02;0;0;0;0
Mongala;CD44;Lisala;CD4402;Lisala;CD4402ZS03;0;0;0;0
Mongala;CD44;Bumba;CD4404;Bumba;CD4404ZS01;0;0;0;0
Mongala;CD44;Bumba;CD4404;Lolo;CD4404ZS02;0;0;0;0
Mongala;CD44;Bumba;CD4404;Yamaluka;CD4404ZS03;0;0;0;0
Mongala;CD44;Bumba;CD4404;Yambuku;CD4404ZS04;0;0;0;0
Mongala;CD44;Bumba;CD4404;Yamongili;CD4404ZS05;0;0;0;0
Mongala;CD44;Bongandanga;CD4405;Bongandanga;CD4405ZS01;0;0;0;0
Mongala;CD44;Bongandanga;CD4405;Boso Mondanda;CD4405ZS02;0;0;0;0
Mongala;CD44;Bongandanga;CD4405;Bosondjo;CD4405ZS03;0;0;0;0
Mongala;CD44;Bongandanga;CD4405;Pimu;CD4405ZS04;0;0;0;0
Tshuapa;CD45;Boende;CD4502;Boende;CD4502ZS01;0;0;0;0
Tshuapa;CD45;Boende;CD4502;Wema;CD4502ZS02;0;0;0;0
Tshuapa;CD45;Befale;CD4503;Befale;CD4503ZS01;0;0;0;0
Tshuapa;CD45;Befale;CD4503;Mompono;CD4503ZS02;0;0;0;0
Tshuapa;CD45;Djolu;CD4504;Djolu;CD4504ZS01;0;0;0;0
Tshuapa;CD45;Djolu;CD4504;Lingomo;CD4504ZS02;0;0;0;0
Tshuapa;CD45;Ikela;CD4505;Ikela;CD4505ZS01;0;0;0;0
Tshuapa;CD45;Ikela;CD4505;Mondombe;CD4505ZS02;0;0;0;0
Tshuapa;CD45;Bokungu;CD4506;Bokungu;CD4506ZS01;0;0;0;0
Tshuapa;CD45;Bokungu;CD4506;Bosanga;CD4506ZS02;0;0;0;0
Tshuapa;CD45;Bokungu;CD4506;Yalifafo;CD4506ZS03;0;0;0;0
Tshuapa;CD45;Monkoto;CD4507;Monkoto;CD4507ZS01;0;0;0;0
Tshopo;CD51;Kisangani;CD5101;Kabondo;CD5101ZS01;0;0;0;0
Tshopo;CD51;Kisangani;CD5101;Lubunga;CD5101ZS02;0;0;0;0
Tshopo;CD51;Kisangani;CD5101;Makiso-Kisangani;CD5101ZS03;0;0;0;0
Tshopo;CD51;Kisangani;CD5101;Mangobo;CD5101ZS04;0;0;0;0
Tshopo;CD51;Kisangani;CD5101;Tshopo;CD5101ZS05;0;0;0;0
Tshopo;CD51;Ubundu;CD5102;Lowa;CD5102ZS01;0;0;0;0
Tshopo;CD51;Ubundu;CD5102;Ubundu;CD5102ZS02;0;0;0;0
Tshopo;CD51;Ubundu;CD5102;Wanierukula;CD5102ZS03;0;0;0;0
Tshopo;CD51;Opala;CD5103;Opala;CD5103ZS01;0;0;0;0
Tshopo;CD51;Opala;CD5103;Yaleko;CD5103ZS02;0;0;0;0
Tshopo;CD51;Isangi;CD5105;Isangi;CD5105ZS01;0;0;0;0
Tshopo;CD51;Isangi;CD5105;Yabaondo;CD5105ZS02;0;0;0;0
Tshopo;CD51;Isangi;CD5105;Yahisuli;CD5105ZS03;0;0;0;0
Tshopo;CD51;Isangi;CD5105;Yakusu;CD5105ZS04;0;0;0;0
Tshopo;CD51;Yahuma;CD5107;Yahuma;CD5107ZS01;0;0;0;0
Tshopo;CD51;Basoko;CD5109;Basali;CD5109ZS01;0;0;0;0
Tshopo;CD51;Basoko;CD5109;Basoko;CD5109ZS02;0;0;0;0
Tshopo;CD51;Basoko;CD5109;Yalimbongo;CD5109ZS03;0;0;0;0
Tshopo;CD51;Banalia;CD5110;Banalia;CD5110ZS01;0;0;0;0
Tshopo;CD51;Banalia;CD5110;Bengamisa;CD5110ZS02;0;0;0;0
Tshopo;CD51;Bafwasende;CD5111;Bafwagbogbo;CD5111ZS01;0;0;0;0
Tshopo;CD51;Bafwasende;CD5111;Bafwasende;CD5111ZS02;25508;7242;25508;7242
Tshopo;CD51;Bafwasende;CD5111;Opienge;CD5111ZS03;0;0;0;0
Bas-Uele;CD52;Buta;CD5202;Buta;CD5202ZS01;0;0;0;0
Bas-Uele;CD52;Buta;CD5202;Titule;CD5202ZS02;0;0;0;0
Bas-Uele;CD52;Aketi;CD5204;Aketi;CD5204ZS01;0;0;0;0
Bas-Uele;CD52;Aketi;CD5204;Likati;CD5204ZS02;0;0;0;0
Bas-Uele;CD52;Bondo;CD5206;Bili;CD5206ZS01;0;0;0;0
Bas-Uele;CD52;Bondo;CD5206;Bondo;CD5206ZS02;0;0;0;0
Bas-Uele;CD52;Bondo;CD5206;Monga;CD5206ZS03;0;0;0;0
Bas-Uele;CD52;Ango;CD5207;Ango;CD5207ZS01;0;0;0;0
Bas-Uele;CD52;Poko;CD5208;Poko;CD5208ZS01;0;0;0;0
Bas-Uele;CD52;Poko;CD5208;Viadana;CD5208ZS02;0;0;0;0
Bas-Uele;CD52;Bambesa;CD5209;Ganga;CD5209ZS01;0;0;0;0
Haut-Uele;CD53;Rungu;CD5302;Isiro;CD5302ZS01;0;0;0;0
Haut-Uele;CD53;Rungu;CD5302;Rungu;CD5302ZS02;0;0;0;0
Haut-Uele;CD53;Niangara;CD5303;Niangara;CD5303ZS01;0;0;0;0
Haut-Uele;CD53;Dungu;CD5305;Doruma;CD5305ZS01;0;0;0;0
Haut-Uele;CD53;Dungu;CD5305;Dungu;CD5305ZS02;0;0;0;0
Haut-Uele;CD53;Faradje;CD5307;Aba;CD5307ZS01;0;0;0;0
Haut-Uele;CD53;Faradje;CD5307;Faradje;CD5307ZS02;0;0;0;0
Haut-Uele;CD53;Faradje;CD5307;Makoro;CD5307ZS03;0;0;0;0
Haut-Uele;CD53;Watsa;CD5309;Gombari;CD5309ZS01;0;0;0;0
Haut-Uele;CD53;Watsa;CD5309;Watsa;CD5309ZS02;0;0;0;0
Haut-Uele;CD53;Wamba;CD5311;Boma-Mangbetu;CD5311ZS01;0;0;0;0
Haut-Uele;CD53;Wamba;CD5311;Pawa;CD5311ZS02;0;0;0;0
Haut-Uele;CD53;Wamba;CD5311;Wamba;CD5311ZS03;0;0;0;0
Ituri;CD54;Irumu;CD5402;Boga;CD5402ZS01;0;0;0;0
Ituri;CD54;Irumu;CD5402;Bunia;CD5402ZS02;0;0;86812;20339
Ituri;CD54;Irumu;CD5402;Gethy;CD5402ZS03;0;0;0;0
Ituri;CD54;Irumu;CD5402;Komanda;CD5402ZS04;0;0;0;0
Ituri;CD54;Irumu;CD5402;Nyakunde;CD5402ZS05;0;0;0;0
Ituri;CD54;Irumu;CD5402;Rwampara;CD5402ZS06;0;0;0;0
Ituri;CD54;Mambasa;CD5403;Lolwa;CD5403ZS01;0;0;0;0
Ituri;CD54;Mambasa;CD5403;Mambasa;CD5403ZS02;0;0;0;0
Ituri;CD54;Mambasa;CD5403;Mandima;CD5403ZS03;0;0;0;0
Ituri;CD54;Mambasa;CD5403;Nia-Nia;CD5403ZS04;0;0;0;0
Ituri;CD54;Djugu;CD5405;Bambu;CD5405ZS01;0;0;0;0
Ituri;CD54;Djugu;CD5405;Damas;CD5405ZS02;0;0;0;0
Ituri;CD54;Djugu;CD5405;Drodro;CD5405ZS03;78436;52534;78436;52534
Ituri;CD54;Djugu;CD5405;Fataki;CD5405ZS04;50445;22274;50445;22274
Ituri;CD54;Djugu;CD5405;Jiba;CD5405ZS05;0;0;0;0
Ituri;CD54;Djugu;CD5405;Kilo;CD5405ZS06;0;0;0;0
Ituri;CD54;Djugu;CD5405;Linga;CD5405ZS07;47762;13920;47762;13920
Ituri;CD54;Djugu;CD5405;Lita;CD5405ZS08;45862;15622;45862;15622
Ituri;CD54;Djugu;CD5405;Mangala;CD5405ZS09;0;0;0;0
Ituri;CD54;Djugu;CD5405;Mongbalu;CD5405ZS10;0;0;0;0
Ituri;CD54;Djugu;CD5405;Nizi;CD5405ZS11;49135;15349;49135;15349
Ituri;CD54;Djugu;CD5405;Rethy;CD5405ZS12;64332;17074;64332;17074
Ituri;CD54;Djugu;CD5405;Tchomia;CD5405ZS13;35388;9200;35388;9200
Ituri;CD54;Mahagi;CD5407;Angumu;CD5407ZS01;113357;99113;113357;99113
Ituri;CD54;Mahagi;CD5407;Aungba;CD5407ZS02;0;0;0;0
Ituri;CD54;Mahagi;CD5407;Kambala;CD5407ZS03;0;0;0;0
Ituri;CD54;Mahagi;CD5407;Logo;CD5407ZS04;0;0;0;0
Ituri;CD54;Mahagi;CD5407;Mahagi;CD5407ZS05;0;0;0;0
Ituri;CD54;Mahagi;CD5407;Nyarambe;CD5407ZS06;0;0;0;0
Ituri;CD54;Mahagi;CD5407;Rimba;CD5407ZS07;0;0;0;0
Ituri;CD54;Aru;CD5409;Adi;CD5409ZS01;0;0;0;0
Ituri;CD54;Aru;CD5409;Adja;CD5409ZS02;0;0;0;0
Ituri;CD54;Aru;CD5409;Ariwara;CD5409ZS03;0;0;0;0
Ituri;CD54;Aru;CD5409;Aru;CD5409ZS04;0;0;0;0
Ituri;CD54;Aru;CD5409;Biringi;CD5409ZS05;0;0;0;0
Ituri;CD54;Aru;CD5409;Laybo;CD5409ZS06;0;0;0;0
Nord-Kivu;CD61;Goma;CD6101;Goma;CD6101ZS01;0;0;0;0
Nord-Kivu;CD61;Goma;CD6101;Karisimbi;CD6101ZS02;0;0;0;0
Nord-Kivu;CD61;Nyiragongo;CD6102;Nyiragongo;CD6102ZS01;0;0;0;0
Nord-Kivu;CD61;Masisi;CD6103;Katoyi;CD6103ZS01;0;0;202628;40461
Nord-Kivu;CD61;Masisi;CD6103;Kirotshe;CD6103ZS02;141109;30611;141109;30611
Nord-Kivu;CD61;Masisi;CD6103;Masisi;CD6103ZS03;135567;34882;135567;34882
Nord-Kivu;CD61;Masisi;CD6103;Mweso;CD6103ZS04;130270;35069;130270;35069
Nord-Kivu;CD61;Walikale;CD6104;Itebero;CD6104ZS01;0;0;0;0
Nord-Kivu;CD61;Walikale;CD6104;Kibua;CD6104ZS02;0;0;32619;6622
Nord-Kivu;CD61;Walikale;CD6104;Pinga;CD6104ZS03;49975;14894;49975;14894
Nord-Kivu;CD61;Walikale;CD6104;Walikale;CD6104ZS04;0;0;0;0
Nord-Kivu;CD61;Lubero;CD6105;Alimbongo;CD6105ZS01;0;0;0;0
Nord-Kivu;CD61;Lubero;CD6105;Biena;CD6105ZS02;0;0;0;0
Nord-Kivu;CD61;Lubero;CD6105;Kayna;CD6105ZS03;0;0;112574;22920
Nord-Kivu;CD61;Lubero;CD6105;Lubero;CD6105ZS04;0;0;0;0
Nord-Kivu;CD61;Lubero;CD6105;Manguredjipa;CD6105ZS05;0;0;0;0
Nord-Kivu;CD61;Lubero;CD6105;Masereka;CD6105ZS06;0;0;0;0
Nord-Kivu;CD61;Lubero;CD6105;Musienene;CD6105ZS07;0;0;0;0
Nord-Kivu;CD61;Oïcha;CD6107;Kalunguta;CD6107ZS01;64200;13852;64200;13852
Nord-Kivu;CD61;Oïcha;CD6107;Kamango;CD6107ZS02;78316;78820;78316;78820
Nord-Kivu;CD61;Oïcha;CD6107;Kyondo;CD6107ZS03;0;0;69095;14515
Nord-Kivu;CD61;Oïcha;CD6107;Mabalako;CD6107ZS04;64867;22582;64867;22582
Nord-Kivu;CD61;Oïcha;CD6107;Mutwanga;CD6107ZS05;82001;24755;82001;24755
Nord-Kivu;CD61;Oïcha;CD6107;Oicha;CD6107ZS06;108775;25470;108775;25470
Nord-Kivu;CD61;Oïcha;CD6107;Vuhovi;CD6107ZS07;39132;8563;39132;8563
Nord-Kivu;CD61;Beni;CD6109;Beni;CD6109ZS01;123560;28362;123560;28362
Nord-Kivu;CD61;Butembo;CD6110;Butembo;CD6110ZS01;0;0;0;0
Nord-Kivu;CD61;Butembo;CD6110;Katwa;CD6110ZS02;0;0;0;0
Nord-Kivu;CD61;Rutshuru;CD6111;Bambo;CD6111ZS01;58223;23151;58223;23151
Nord-Kivu;CD61;Rutshuru;CD6111;Binza;CD6111ZS02;0;0;0;0
Nord-Kivu;CD61;Rutshuru;CD6111;Birambizo;CD6111ZS03;141059;54214;141059;54214
Nord-Kivu;CD61;Rutshuru;CD6111;Kibirizi;CD6111ZS04;152311;78251;152311;78251
Nord-Kivu;CD61;Rutshuru;CD6111;Rutshuru;CD6111ZS05;0;0;91169;18781
Nord-Kivu;CD61;Rutshuru;CD6111;Rwanguba;CD6111ZS06;0;0;83423;16929
Sud-Kivu;CD62;Bukavu;CD6201;Bagira;CD6201ZS01;0;0;0;0
Sud-Kivu;CD62;Bukavu;CD6201;Ibanda;CD6201ZS02;0;0;0;0
